DATAFLOW,LAST UPDATE,freq,sex,age,isced11,training,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Austria,Percentage,2024,20.8,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Austria,Thousand persons,2024,35.9,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Belgium,Percentage,2024,11.6,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Belgium,Thousand persons,2024,31.4,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Bulgaria,Percentage,2024,,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Bulgaria,Thousand persons,2024,,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Cyprus,Percentage,2024,,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Cyprus,Thousand persons,2024,,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Czechia,Percentage,2024,7.4,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Czechia,Thousand persons,2024,20.9,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Germany,Percentage,2024,9.6,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Germany,Thousand persons,2024,136.6,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Denmark,Percentage,2024,12.6,,
