STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AL,Albania,2017,,3.2,,d,definition differs (see metadata),,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AL,Albania,2018,,1.8,,d,definition differs (see metadata),,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AL,Albania,2019,,1.7,,d,definition differs (see metadata),,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AL,Albania,2020,,2.2,,d,definition differs (see metadata),,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AL,Albania,2021,,2.3,,d,definition differs (see metadata),,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AL,Albania,2022,,6.6,,d,definition differs (see metadata),,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AL,Albania,2023,,5.3,,d,definition differs (see metadata),,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AL,Albania,2024,,2.6,,d,definition differs (see metadata),,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2013,,2.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2014,,1.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2015,,0.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2016,,1.0,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2017,,2.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2018,,2.1,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2019,,1.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2020,,1.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2021,,2.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2022,,8.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2023,,7.7,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,AT,Austria,2024,,2.9,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2013,,1.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2014,,0.5,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2015,,0.6,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2016,,1.8,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2017,,2.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2018,,2.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2019,,1.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2020,,0.4,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2021,,3.2,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2022,,10.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2023,,2.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BE,Belgium,2024,,4.3,,,,,
dataflow,ESTAT:TEC00118(1.0),HICP - inflation rate,A,Annual,RCH_A_AVG,Annual average rate of change,CP00,All-items HICP,BG,Bulgaria,2013,,0.4,,,,,
