DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2005,11.0,b,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2006,9.8,b,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2007,9.4,b,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2008,8.5,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2009,10.7,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2010,9.5,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2011,8.9,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2012,9.4,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2013,9.7,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2014,10.3,b,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2015,10.6,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2016,11.2,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2017,9.8,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2018,9.4,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2019,8.5,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2020,10.5,,
ESTAT:TEPSR_WC170(1.0),11/09/25 23:00:00,Annual,Percentage,Total,From 15 to 24 years,All ISCED 2011 levels,Austria,2021,11.0,b,
